POS.;PROVINCIA;VALORE
1;Cuneo;190,473
2;Modena;114,798
3;Trieste;102,426
4;Brescia;86,124
5;Vibo Valentia;59,45
6;Reggio Emilia;50,423
7;Torino;47,024
8;Forlì;38,524
9;Arezzo;38,091
10;Ferrara;37,799
11;Milano;37,419
12;Ravenna;37,08
13;Cosenza;36
14;Pordenone;35,815
15;Pesaro;35
16;Novara;34
17;Mantova;32,551
18;Bergamo;32,417
19;Cremona;32,178
20;Lecce;30,385
21;Siena;29,87
22;Perugia;29,116
23;Firenze;29,097
24;Vercelli;28,378
25;Sondrio;27,724
26;Gorizia;26,079
27;Verona;25,265
28;Venezia;25
29;Pavia;24,734
30;Biella;24,723
31;Treviso;23,9
32;Padova;23,516
33;Vicenza;23,293
34;Massa;23,133
35;Lucca;22,411
36;Monza;22,037
37;Parma;21,718
38;L'Aquila;21,602
39;Bologna;21,483
40;Pescara;20,97
41;Macerata;20,107
42;Bolzano;20,101
43;Pisa;20,056
44;Caserta;19,852
45;Rimini;19,411
46;Alessandria;19,153
47;Oristano;18,812
48;Teramo;18,403
49;Lodi;17,9
50;Frosinone;16,933
51;Taranto;16,872
52;Pistoia;16,631
53;Trento;16,614
54;Cagliari;16,352
55;Verbania;16,24
56;Chieti;15,757
57;Brindisi;15,492
58;Asti;15,237
59;Prato;15,209
60;Agrigento;15,096
61;Salerno;14,965
62;Bari;14,797
63;Foggia;14,534
64;Terni;14,39
65;Varese;14,328
66;Livorno;13,563
67;Avellino;12,879
68;Crotone;12,512
69;La Spezia;12,02
70;Catania;11,873
71;Como;11,485
72;Palermo;11,221
73;Aosta;11,032
74;Enna;11
75;Roma;10,965
76;Genova;9,762
77;Catanzaro;9,331
78;Rieti;8,806
79;Isernia;8,229
80;Siracusa;8,223
81;Piacenza;8
82;Ragusa;7,383
83;Lecco;7,255
84;Ascoli Piceno;7,176
85;Imperia;6,541
86;Caltanissetta;6,419
87;Reggio Calabria;6,338
88;Napoli;6,107
89;Trapani;5,461
90;Messina;5,122
91;Sassari;4,733
92;Viterbo;4,658
93;Benevento;4,181
94;Potenza;1,111
95;Ancona;0
96;Belluno;0
97;Campobasso;0
98;Cesena;0
99;Grosseto;0
100;Latina;0
101;Matera;0
102;Nuoro;0
103;Rovigo;0
104;Savona;0
105;Udine;0
