Loading...;PROVINCIA;VALORE
1;Trento;84,71
2;Reggio Emilia;77,89
3;Mantova;75,14
4;Cosenza;74,21
5;Pordenone;73,3
6;Bolzano;71,7
7;Parma;68,53
8;Belluno;68,31
9;Treviso;67,73
10;Ferrara;66,77
11;Rimini;65,92
12;Trieste;65,25
13;Udine;65,22
14;Cuneo;63,98
15;Macerata;63,08
16;Cagliari;63,07
17;Forlì;62,86
18;Sondrio;62,8
19;Pesaro;62,79
20;Teramo;62,62
21;Perugia;62,45
22;Bologna;62,26
23;Verbania;62,1
24;Lucca;61,57
25;Cremona;60,96
26;La Spezia;60,83
27;Brescia;60,57
28;Venezia;60,56
29;Firenze;60,5
30;Milano;59,62
31;Lodi;59,4
32;Gorizia;59,24
33;Oristano;59,05
34;Biella;59,01
35;Bergamo;58,55
36;Padova;58,4
37;Genova;58,1
38;Terni;58,1
39;Vibo Valentia;56,66
40;Pavia;56,12
41;Como;56,06
42;Aosta;55,7
43;Novara;55,65
44;Varese;55,41
45;Rieti;55
46;Cesena;54,83
47;Agrigento;54,77
48;Savona;54,71
49;Piacenza;54,54
50;Arezzo;54,07
51;Ravenna;53,81
52;Enna;53,71
53;Siena;53,62
54;Imperia;53,3
55;Catanzaro;53,09
56;L'Aquila;53,09
57;Benevento;52,87
58;Pisa;52,69
59;Sassari;52,58
60;Vicenza;52,07
61;Modena;51,9
62;Ascoli Piceno;51,85
63;Chieti;51,7
64;Lecco;51,31
65;Livorno;51,17
66;Caserta;51,07
67;Lecce;49,64
68;Asti;48,58
69;Verona;48,57
70;Potenza;48,31
71;Reggio Calabria;48,16
72;Prato;47,72
73;Ancona;47,05
74;Avellino;46,85
75;Trapani;46,32
76;Pescara;45,77
77;Taranto;45,66
78;Frosinone;45,62
79;Nuoro;44,77
80;Pistoia;43,9
81;Torino;43,86
82;Campobasso;43,64
83;Viterbo;43,39
84;Vercelli;43,34
85;Crotone;43,16
86;Roma;42,75
87;Rovigo;42,58
88;Bari;42,53
89;Matera;42,17
90;Foggia;41,49
91;Napoli;40,86
92;Caltanissetta;40,44
93;Monza;40,42
94;Salerno;40,39
95;Grosseto;37,26
96;Siracusa;36,73
97;Ragusa;36,27
98;Massa;36,21
99;Isernia;35,77
100;Latina;35,04
101;Messina;34,49
102;Alessandria;33,99
103;Brindisi;30,03
104;Catania;29,38
105;Palermo;26,6
